Ngày,Họ tên KH,Nguồn (Nhân viên),Dịch vụ,Trạng thái,Đặt lịch
1/9,Nguyễn Văn An,Lợi,Cắt tóc,Đã đến,Có lịch
1/9,Trần Thị Bình,Cường,Gội đầu,Tham khảo,Không
1/9,Lê Văn Cường,Vy,Nhuộm tóc,K tiềm năng,Không
1/9,Phạm Thị Dung,Trâm,Uốn tóc,Đồng ý hẹn,Có lịch
2/9,Hoàng Văn Em,Lợi,Chăm sóc da,Zalo phản hồi,Không
2/9,Vũ Thị Phương,Cường,Cắt tóc,Chưa liên hệ,Chưa xếp
2/9,Đặng Văn Giang,Vy,Gội đầu,Đã đến,Có lịch
2/9,Bùi Thị Hoa,Lợi,Nhuộm tóc,Hỏi thuốc,Không
3/9,Đỗ Văn Hùng,Cường,Uốn tóc,Không tương tác,Không
3/9,Hồ Thị Lan,Vy,Chăm sóc da,Đồng ý hẹn,Có lịch
3/9,Ngô Văn Minh,Trâm,Cắt tóc,Đã đến,Có lịch
3/9,Dương Thị Nga,Lợi,Gội đầu,Ko phản hồi,Không
4/9,Lý Văn Phúc,Cường,Nhuộm tóc,Tham khảo,Không
4/9,Mai Thị Quỳnh,Vy,Uốn tóc,Đã đến,Có lịch
4/9,Phan Văn Sang,Lợi,Chăm sóc da,K tiềm năng,Không
4/9,Trịnh Thị Thảo,Trâm,Cắt tóc,Chưa liên hệ,Chưa xếp
